"INCIDENT NUMBER","CHARGE ID","CHARGE DATE","REPORT DATE","APPROVED DATE","ATTEMPTED OR COMMITTED","STREET ADDRESS","SUBADDRESS","CITY","STATE","ZIP CODE","DISTRICT","ZONE","SUBZONE","STATUTE TITLE","STATUTE DESCRIPTION","STATUTE CATEGORY","CRIME AGAINST","NIBRS CODE","NIBRS DESCRIPTION","CENSUS BLOCK GROUP","COUNCIL DISTRICT","CRIME PREVENTION DISTRICT","NEIGHBORHOOD","LONGITUDE","LATITUDE","GEOLOCATION"
"21-133321","368460C9-8F47-4122-B8F0-C3B4A5864E34","12/29/2021 04:33:00 PM","12/31/2021 06:15:22 PM","01/05/2022 08:10:46 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-133967","7567D5D2-44FC-4CBC-9B53-0A02675457CC","12/31/2021 12:11:49 PM","12/31/2021 01:54:02 PM","01/02/2022 10:47:01 AM","COMMITTED","324 BRICE ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:62.2","SIMPLE BURGLARY OF AN INHABITED DWELLING","RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17117","30.44533","POINT (-91.171168 30.445327)"
"21-133928","48FAA101-0EE9-4CBF-B893-C48F573BE0F8","12/28/2021 12:00:00 AM","12/31/2021 10:31:44 AM","01/01/2022 09:04:48 AM","COMMITTED","1829 NORTH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","13:67","THEFT","THEFT","PROPERTY","23G","THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES",,"10",,"DOWNTOWN EAST","-91.17006","30.45322","POINT (-91.170059 30.45322)"
"21-133880","55246605-B21A-4412-8CCF-7F212B0427B2","12/31/2021 04:05:22 AM","12/31/2021 04:05:00 AM","01/01/2022 12:38:32 AM","COMMITTED","1120 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","14:65","SIMPLE ROBBERY","INDIVIDUAL ROBBERY","PROPERTY","120","ROBBERY",,"10",,"DOWNTOWN EAST","-91.17760","30.45464","POINT (-91.177604 30.454636)"
"21-133694","4EDE5DAC-4F5B-4BC0-BE63-B3852F2F81BF","12/30/2021 03:57:38 PM","12/30/2021 04:37:34 PM","05/15/2023 12:38:20 PM","COMMITTED",,,"BATON ROUGE","LA","70802","1","1A","1A1","13:35.3","DOMESTIC ABUSE BATTERY","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST",,,
"21-133601","CD6BDEF9-9E1D-43ED-9E55-59822974724B","12/30/2021 11:40:14 AM","12/30/2021 11:40:00 AM","01/21/2022 06:16:31 AM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-133601","CD925BDA-9A06-4FA7-9F44-8D0380F86A87","12/30/2021 11:40:14 AM","12/30/2021 11:40:00 AM","01/21/2022 06:16:31 AM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","40:1023","POSSESSION OF DRUG PARAPHERNALIA","NARCOTICS","SOCIETY","35B","DRUG EQUIPMENT VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-130884","39B5D5C5-9ECE-4F74-92C0-A765FE8FF291","12/22/2021 05:35:23 PM","12/29/2021 06:33:30 AM","12/29/2021 09:26:35 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-132796","CF1E9A30-AC79-4ABE-A66F-8AE3DF770E5F","12/28/2021 09:28:28 AM","12/28/2021 12:20:04 PM","05/19/2023 10:49:59 AM","COMMITTED","153 N 17TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:35","SIMPLE BATTERY","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST","-91.17202","30.44847","POINT (-91.172018 30.448468)"
"21-131298","B3DD4AD2-9E25-49C2-9424-4C5D671F014D","12/23/2021 06:18:29 PM","12/28/2021 11:23:47 AM","12/29/2021 09:31:01 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-131306","E41801FC-0473-4B65-8878-AC4903085C90","12/23/2021 06:58:50 PM","12/28/2021 11:10:25 AM","12/28/2021 06:44:15 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-132723","D3F51F09-A73F-4ACB-9890-02518ED4E332","12/28/2021 12:23:13 AM","12/28/2021 01:05:17 AM","01/01/2022 12:25:22 AM","ATTEMPTED","1120 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","14:30.1","SECOND DEGREE MURDER","HOMICIDE","PERSON","09A","MURDER & NONNEGLIGENT MANSLAUGHTER",,"10",,"DOWNTOWN EAST","-91.17760","30.45464","POINT (-91.177604 30.454636)"
"21-132394","7E2864C4-DA05-4958-BDAE-9C763F1479BC","12/27/2021 12:35:00 AM","12/27/2021 03:37:00 AM","12/28/2021 07:59:28 AM","COMMITTED","1530 OLEANDER ST",,"BATON ROUGE","LA","70802","2","2A","2A1","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17263","30.44177","POINT (-91.172633 30.441772)"
"21-132376","59FF66E0-B428-4CBB-A594-4D6B8E954B0C","12/26/2021 11:37:30 PM","12/27/2021 01:57:40 AM","05/22/2023 10:07:27 AM","COMMITTED",,,"BATON ROUGE","LA","70802","1","1A","1A2","13:35.3","DOMESTIC ABUSE BATTERY","BATTERY","PERSON","13A","AGGRAVATED ASSAULT",,"10",,"DOWNTOWN EAST",,,
"21-071955","C8C42A2A-D829-4A56-81B9-3D71A4688FCB","07/22/2021 11:42:36 AM","12/27/2021 12:23:08 AM","01/03/2022 04:00:03 AM","COMMITTED","744 N 11TH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17852","30.45445","POINT (-91.178515 30.454452)"
"21-061621","D5560EAB-6F39-496B-8DBB-412556BCC2B8","06/25/2021 09:52:23 AM","12/26/2021 11:42:01 AM","01/03/2022 03:56:31 AM","COMMITTED","1752 SPAIN ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:56.1","CRIMINAL DAMAGE TO PROPERTY BY DEFACING WITH GRAFITTI","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17054","30.44464","POINT (-91.170536 30.44464)"
"21-131864","82D30A10-97B3-44F3-A34D-812532F60AF4","12/25/2021 12:43:34 PM","12/25/2021 01:09:20 PM","12/26/2021 02:06:12 PM","COMMITTED","1900 GAYOSA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","13:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.16954","30.45412","POINT (-91.169544 30.454124)"
"21-131634","F0FF338C-577D-4B71-AE98-8B75C0740B3E","12/24/2021 06:09:11 PM","12/24/2021 06:54:16 PM","12/25/2021 05:25:12 PM","COMMITTED","1253 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","C.CR.P. ART 575","FUGITIVE","OTHER",,,,,"10",,"DOWNTOWN EAST","-91.17633","30.44980","POINT (-91.176332 30.4498)"
"21-131292","FE606E38-786F-48E3-A810-D493DDCF90F6","12/23/2021 05:35:52 PM","12/23/2021 06:36:20 PM","12/24/2021 02:51:54 PM","COMMITTED","745 IBERVILLE ST",,"BATON ROUGE","LA","70802","1","1A","1A1","C.CR.P. ART 575","FUGITIVE","OTHER",,,,,"10",,"DOWNTOWN EAST","-91.17481","30.44096","POINT (-91.17481 30.440955)"
"21-131292","5CEE9D2B-471D-4BB7-A6C0-6A65BF6A59AB","12/23/2021 05:35:52 PM","12/23/2021 06:36:20 PM","12/24/2021 02:51:54 PM","COMMITTED","745 IBERVILLE ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:94","ILLEGAL USE OF WEAPONS OR DANGEROUS INSTRUMENTALITIES","BATTERY","SOCIETY","520","WEAPON LAW VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17481","30.44096","POINT (-91.17481 30.440955)"
"21-131292","510E172B-4920-4987-88C5-8683D37F7463","12/23/2021 05:35:52 PM","12/23/2021 06:36:20 PM","12/24/2021 02:51:54 PM","COMMITTED","745 IBERVILLE ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:95","ILLEGAL CARRYING OF WEAPON","FIREARM","SOCIETY","520","WEAPON LAW VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17481","30.44096","POINT (-91.17481 30.440955)"
"21-130724","39B6E3CD-0596-46D2-9339-4B7D3CA1F4F6","12/22/2021 09:07:39 AM","12/23/2021 01:34:53 PM","12/29/2021 12:02:37 PM","COMMITTED","336 S 11TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:67","THEFT","THEFT","PROPERTY","23A","POCKET-PICKING",,"10",,"DOWNTOWN EAST","-91.17793","30.44456","POINT (-91.177932 30.444563)"
"21-130830","4342B29B-AF26-4FBF-B946-3E0DD945F99E","12/22/2021 02:52:42 PM","12/22/2021 04:10:54 PM","12/23/2021 06:31:56 PM","COMMITTED","1120 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","14:34","AGGRAVATED BATTERY","BATTERY","PERSON","13A","AGGRAVATED ASSAULT",,"10",,"DOWNTOWN EAST","-91.17760","30.45464","POINT (-91.177604 30.454636)"
"21-130384","50D048FC-1D46-43DB-8A7E-D1976C85062F","12/21/2021 10:00:00 AM","12/21/2021 08:31:48 PM","12/22/2021 01:14:35 AM","COMMITTED","1357 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:65","SIMPLE ROBBERY","INDIVIDUAL ROBBERY","PROPERTY","120","ROBBERY",,"10",,"DOWNTOWN EAST","-91.17507","30.44998","POINT (-91.175072 30.449979)"
"21-130384","FBFD9FE4-BECA-406B-9518-D3AE3FC168AE","12/21/2021 10:00:00 AM","12/21/2021 08:31:48 PM","12/22/2021 01:14:35 AM","COMMITTED","1357 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:35.2","SIMPLE BATTERY OF THE INFIRM","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST","-91.17507","30.44998","POINT (-91.175072 30.449979)"
"21-130577","2FB17A25-8294-4A31-8AF8-C595C54E2B18","12/21/2021 07:58:17 PM","12/21/2021 07:58:00 PM","12/23/2021 06:27:29 PM","COMMITTED","124 N 11TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17833","30.44794","POINT (-91.178326 30.447938)"
"21-130577","7665B5C8-CEC7-4645-9E3B-4F550706A953","12/21/2021 07:58:17 PM","12/21/2021 07:58:00 PM","12/23/2021 06:27:29 PM","COMMITTED","124 N 11TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:67","THEFT","THEFT","PROPERTY","23A","POCKET-PICKING",,"10",,"DOWNTOWN EAST","-91.17833","30.44794","POINT (-91.178326 30.447938)"
"21-130042","9EC64CD7-EDC7-4F00-A299-771157DAEC53","12/20/2021 10:57:43 AM","12/21/2021 09:27:01 AM","12/21/2021 12:13:04 PM","COMMITTED","1424 CONVENTION ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:37","AGGRAVATED ASSAULT","ASSAULT","PERSON","13A","AGGRAVATED ASSAULT",,"10",,"DOWNTOWN EAST","-91.17421","30.44867","POINT (-91.174205 30.44867)"
"21-101033","38649278-7BAA-4826-988C-F787FABB2645","10/04/2021 03:50:00 PM","12/21/2021 08:17:38 AM","12/21/2021 08:23:56 AM","ATTEMPTED","1253 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:65","SIMPLE ROBBERY","INDIVIDUAL ROBBERY","PROPERTY","120","ROBBERY",,"10",,"DOWNTOWN EAST","-91.17633","30.44980","POINT (-91.176332 30.4498)"
"21-127148","8A6050EE-A2B5-4873-84C3-BE8E9416DF1A","12/12/2021 11:53:27 AM","12/21/2021 08:11:39 AM","12/24/2021 12:27:23 PM","ATTEMPTED","1842 GOVERNMENT ST",,"BATON ROUGE","LA","70802","2","2A","2A1","14:62.2","SIMPLE BURGLARY OF AN INHABITED DWELLING","RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.16967","30.44359","POINT (-91.169668 30.443587)"
"21-129489","5DD83292-087D-441C-80B6-D617B378CB14","12/18/2021 06:00:00 PM","12/18/2021 06:09:01 PM","12/21/2021 01:59:15 AM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-129085","4521F3D7-9C06-4A96-A914-06FD771093C5","12/17/2021 04:07:13 PM","12/17/2021 04:49:54 PM","12/20/2021 02:40:18 PM","COMMITTED","1000 GOVERNMENT ST",,"BATON ROUGE","LA","70802","5","5A","5A1","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17951","30.44332","POINT (-91.179512 30.443321)"
"21-128904","BEE40D23-6665-4B7E-ABCF-756F246BF462","12/17/2021 05:58:59 AM","12/17/2021 07:46:03 AM","12/17/2021 12:44:44 PM","COMMITTED","2040 GAYOSA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.16760","30.45407","POINT (-91.167597 30.454065)"
"21-128904","A1EFF174-3923-4CC3-97F4-AAB7FD31B34E","12/17/2021 05:58:59 AM","12/17/2021 07:46:03 AM","12/17/2021 12:44:44 PM","COMMITTED","2040 GAYOSA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.16760","30.45407","POINT (-91.167597 30.454065)"
"21-128782","B7C0F40F-048B-4AAF-8BFF-C0CD64E5A23A","12/16/2021 07:31:10 PM","12/16/2021 07:55:54 PM","12/23/2021 09:04:44 PM","COMMITTED","1503 GOVERNMENT ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:108","RESISTING AN OFFICER","OTHER","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17293","30.44404","POINT (-91.172926 30.444041)"
"21-128782","F044AA5C-E622-42F2-8DCE-38694AECCB5D","12/16/2021 07:31:10 PM","12/16/2021 07:55:54 PM","12/23/2021 09:04:44 PM","COMMITTED","1503 GOVERNMENT ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:34.2","BATTERY OF A POLICE OFFICER","BATTERY","PERSON","13A","AGGRAVATED ASSAULT",,"10",,"DOWNTOWN EAST","-91.17293","30.44404","POINT (-91.172926 30.444041)"
"21-128782","09C16A65-E210-47FB-9092-495090A642A2","12/16/2021 07:31:10 PM","12/16/2021 07:55:54 PM","12/23/2021 09:04:44 PM","COMMITTED","1503 GOVERNMENT ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:103(A)(2)","DISTURBING THE PEACE / LANGUAGE","NUISANCE","SOCIETY","90C","DISORDERLY CONDUCT",,"10",,"DOWNTOWN EAST","-91.17293","30.44404","POINT (-91.172926 30.444041)"
"21-128782","89B480F0-0E2B-4D45-9237-FFAC24BC18B3","12/16/2021 07:31:10 PM","12/16/2021 07:55:54 PM","12/23/2021 09:04:44 PM","COMMITTED","1503 GOVERNMENT ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:62.4","UNAUTHORIZED ENTRY OF A PLACE OF BUS.","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17293","30.44404","POINT (-91.172926 30.444041)"
"21-127598","A806C655-55C1-4D31-958C-48D275F411E9","12/13/2021 04:59:22 PM","12/16/2021 07:07:16 PM","12/21/2021 09:15:47 AM","COMMITTED","901-999 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.18012","30.44956","POINT (-91.180118 30.449563)"
"21-128744","7C2CDEF7-6461-498C-8FED-24913357AE0C","12/16/2021 06:09:47 PM","12/16/2021 06:44:54 PM","12/17/2021 05:31:34 AM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-128719","CEF40697-3449-4F02-A8B9-B0747DD88851","12/16/2021 04:31:58 PM","12/16/2021 05:32:39 PM","12/28/2021 08:50:29 PM","COMMITTED","1334 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17601","30.44918","POINT (-91.17601 30.449182)"
"21-128719","D100A790-4186-4021-86D6-6C2E13ED26CE","12/16/2021 04:31:58 PM","12/16/2021 05:32:39 PM","12/28/2021 08:50:29 PM","COMMITTED","1334 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:67","THEFT","THEFT","PROPERTY","23H","ALL OTHER LARCENY",,"10",,"DOWNTOWN EAST","-91.17601","30.44918","POINT (-91.17601 30.449182)"
"21-128719","D263BE64-985C-4353-93EC-45A69DE4522F","12/15/2021 08:00:00 PM","12/16/2021 05:32:39 PM","12/28/2021 08:50:29 PM","COMMITTED","1334 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:62.4","UNAUTHORIZED ENTRY OF A PLACE OF BUS.","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17601","30.44918","POINT (-91.17601 30.449182)"
"21-128713","B82931F8-6C09-4FBB-87D2-E144B6CC4E6D","12/15/2021 08:00:00 PM","12/16/2021 04:18:00 PM","02/06/2022 12:57:19 PM","COMMITTED","1334 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:62.4","UNAUTHORIZED ENTRY OF A PLACE OF BUS.","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17601","30.44918","POINT (-91.17601 30.449182)"
"21-128713","2C0169A6-0A14-4FD9-BA45-50E72E8D6739","12/15/2021 08:00:00 PM","12/16/2021 04:18:00 PM","02/06/2022 12:57:19 PM","COMMITTED","1334 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17601","30.44918","POINT (-91.17601 30.449182)"
"21-128713","0B9EEB93-8775-41E2-894E-16C19DAC0213","12/15/2021 08:00:00 PM","12/16/2021 04:18:00 PM","02/06/2022 12:57:19 PM","COMMITTED","1334 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:67","THEFT","THEFT","PROPERTY","23G","THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES",,"10",,"DOWNTOWN EAST","-91.17601","30.44918","POINT (-91.17601 30.449182)"
"21-127882","5050D05D-3F2D-4E19-964F-AEE69F843167","12/14/2021 01:00:00 AM","12/15/2021 10:11:24 PM","12/16/2021 07:27:57 AM","COMMITTED","1120 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17760","30.45464","POINT (-91.177604 30.454636)"
"21-127793","0D062D9C-6783-4790-9F2E-4E46ADBF574C","12/14/2021 12:00:00 AM","12/15/2021 05:45:45 AM","12/15/2021 12:25:19 PM","COMMITTED","1205 NORTH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17712","30.45304","POINT (-91.177121 30.453042)"
"21-118803","579CE0D6-730D-4564-BD72-EB121ABF3143","11/19/2021 06:52:16 PM","12/14/2021 10:34:47 PM","12/17/2021 01:01:42 PM","COMMITTED","150 S 17TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:94","ILLEGAL USE OF WEAPONS OR DANGEROUS INSTRUMENTALITIES","BATTERY","SOCIETY","520","WEAPON LAW VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17201","30.44705","POINT (-91.172009 30.447047)"
"21-118803","4B0DEF7D-4976-4FB0-8401-7D2E1B294489","11/19/2021 06:52:16 PM","12/14/2021 10:34:47 PM","12/17/2021 01:01:42 PM","ATTEMPTED","150 S 17TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:30","FIRST DEGREE MURDER","HOMICIDE","PERSON","09A","MURDER & NONNEGLIGENT MANSLAUGHTER",,"10",,"DOWNTOWN EAST","-91.17201","30.44705","POINT (-91.172009 30.447047)"
"21-119595","10D729FA-FD9A-4D02-AA91-F7EB4259E0C9","11/21/2021 07:52:17 PM","12/14/2021 09:47:45 PM","12/17/2021 01:15:41 PM","COMMITTED","446 N 12TH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:55","AGGRAVATED CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17734","30.45124","POINT (-91.177339 30.451235)"
"21-119595","C84E7258-3BFB-4DD4-BF2D-95A346032055","11/21/2021 07:52:17 PM","12/14/2021 09:47:45 PM","12/17/2021 01:15:41 PM","COMMITTED","446 N 12TH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:94","ILLEGAL USE OF WEAPONS OR DANGEROUS INSTRUMENTALITIES","BATTERY","SOCIETY","520","WEAPON LAW VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17734","30.45124","POINT (-91.177339 30.451235)"
"21-119595","31F1238C-A206-431A-ADF8-6966D1E12F02","11/21/2021 07:52:17 PM","12/14/2021 09:47:45 PM","12/17/2021 01:15:41 PM","ATTEMPTED","446 N 12TH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:30","FIRST DEGREE MURDER","HOMICIDE","PERSON","09A","MURDER & NONNEGLIGENT MANSLAUGHTER",,"10",,"DOWNTOWN EAST","-91.17734","30.45124","POINT (-91.177339 30.451235)"
"21-126305","D5DA36F4-DCCA-435D-BDAB-5E54247BB9A1","12/09/2021 11:00:00 PM","12/14/2021 08:23:51 AM","12/14/2021 01:30:24 PM","ATTEMPTED","1818 AMERICA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:30.1","SECOND DEGREE MURDER","HOMICIDE","PERSON","09A","MURDER & NONNEGLIGENT MANSLAUGHTER",,"10",,"DOWNTOWN EAST","-91.17202","30.44847","POINT (-91.172018 30.448468)"
"21-127550","0584D862-DD74-4DBA-9E3A-90149CB69CA4","12/13/2021 03:18:52 PM","12/13/2021 09:27:17 PM","12/14/2021 07:40:20 AM","COMMITTED","801 S 15TH ST",,"BATON ROUGE","LA","70802","2","2A","2A1","14:70.4","ACCESS DEVICE FRAUD","THEFT","PROPERTY","26B","CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD",,"10",,"DOWNTOWN EAST","-91.17273","30.44069","POINT (-91.172726 30.440693)"
"21-127100","EF5365A5-785D-466E-9EDD-32C76470B47F","12/12/2021 12:00:00 AM","12/12/2021 10:52:22 PM","12/16/2021 07:40:37 AM","COMMITTED","1205 NORTH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17712","30.45304","POINT (-91.177121 30.453042)"
"21-126652","A73EA097-5E70-4BF4-B188-2A52C638AEB8","12/11/2021 02:52:23 AM","12/11/2021 10:52:22 PM","12/12/2021 08:04:00 PM","COMMITTED","1854 NORTH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","13:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.16998","30.45277","POINT (-91.169984 30.45277)"
